fold,best_epoch,best_score,proxy_selection_score,source_task1_sanity_floor,source_task1_sanity_pass,checkpoint_selected_from_proxy_fallback,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc,source_task1_auc,source_task1_f1,source_task1_f1_opt,source_task1_balanced_accuracy,source_task1_precision,source_task1_recall,source_task1_best_threshold,source_task2_accuracy
0,0,-inf,0.0,0.7,False,True,"374,402",21,,0.0,0.0,0.9047619047619048,,0.0,0.0,,0.0,0.0,1.0,,0.0,,0.5882352941176471,0.7719298245614035,0.7857142857142857,0.6458823529411765,0.6875,0.88,0.5499999999999999,0.40476190476190477
1,2,-inf,0.75,0.7,False,True,"310,417",21,0.75,0.6363636363636364,0.7647058823529411,0.6190476190476191,0.6442307692307692,0.7777777777777778,0.5384615384615384,1.0,1.0,1.0,0.24758268892765045,0.75,0.7647058823529411,1.0,0.5858823529411765,0.7857142857142857,0.7857142857142857,0.6752941176470588,0.7096774193548387,0.88,0.49999999999999994,0.40476190476190477
2,2,-inf,0.9333333333333333,0.7,False,True,"415,436",16,0.9333333333333333,0.8333333333333334,0.9090909090909091,0.875,0.8666666666666667,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.05000000074505806,0.9333333333333333,0.9090909090909091,1.0,0.5788235294117647,0.7857142857142857,0.7857142857142857,0.6752941176470588,0.7096774193548387,0.88,0.49999999999999994,0.40476190476190477
3,0,-inf,0.875,0.7,False,True,"349,439",10,0.875,0.6666666666666666,0.75,0.6,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,1.0,1.3807709217071533,0.875,0.75,1.0,0.5882352941176471,0.7719298245614035,0.7857142857142857,0.6458823529411765,0.6875,0.88,0.5499999999999999,0.40476190476190477
4,0,-inf,1.0,0.7,False,True,"421,428",13,1.0,0.7777777777777778,0.9565217391304348,0.6923076923076923,0.8181818181818181,1.0,0.6363636363636364,1.0,1.0,1.0,0.29323095083236694,1.0,0.9523809523809523,1.0,0.5858823529411764,0.7719298245614035,0.7857142857142857,0.6458823529411765,0.6875,0.88,0.6,0.40476190476190477
5,34,-inf,0.5,0.7,False,True,"406,438",18,0.5,0.0,0.7142857142857143,0.4444444444444444,0.5,0.0,0.0,1.0,0.0,1.0,10.0,0.5,0.7142857142857143,1.0,0.6376470588235295,0.7777777777777778,0.8,0.6847058823529412,0.7241379310344828,0.84,0.44999999999999996,0.40476190476190477
6,1,-inf,0.9000000000000001,0.7,False,True,"255,387",19,0.9000000000000001,0.8,0.8181818181818182,0.7368421052631579,0.7222222222222222,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.32210773229599,0.9000000000000001,0.8571428571428571,1.0,0.5835294117647059,0.7719298245614035,0.7857142857142857,0.6458823529411765,0.6875,0.88,0.5499999999999999,0.40476190476190477
7,3,-inf,0.7333333333333334,0.7,False,True,"432,433",16,0.7333333333333334,0.625,0.7692307692307693,0.625,0.6666666666666667,0.8333333333333334,0.5,1.0,1.0,1.0,0.28175652027130127,0.7333333333333334,0.7692307692307693,1.0,0.6047058823529412,0.7857142857142857,0.7857142857142857,0.6752941176470588,0.7096774193548387,0.88,0.49999999999999994,0.40476190476190477
8,59,-inf,0.6666666666666666,0.7,False,True,"378,427",16,0.6666666666666666,0.0,0.5714285714285714,0.625,0.5,0.0,0.0,1.0,0.0,1.0,1.0000276565551758,0.6666666666666666,0.5714285714285714,1.0,0.6305882352941177,0.7058823529411765,0.7857142857142857,0.6247058823529412,0.6923076923076923,0.72,0.35,0.40476190476190477
9,68,-inf,0.4545454545454545,0.7,False,True,"370,394",21,0.4545454545454545,0.0,0.6875,0.38095238095238093,0.4,0.0,0.0,0.0,0.0,0.6666666666666666,10.0,0.4545454545454545,0.6875,0.0,0.651764705882353,0.5957446808510638,0.7777777777777778,0.5447058823529412,0.6363636363636364,0.56,0.35,0.40476190476190477
10,66,-inf,0.625,0.7,False,True,"323,352",10,0.625,0.0,0.8888888888888888,0.2,0.5,0.0,0.0,1.0,0.0,0.6666666666666666,10.0,0.625,0.8888888888888888,1.0,0.6352941176470589,0.5652173913043478,0.7857142857142857,0.5247058823529411,0.6190476190476191,0.52,0.3,0.23809523809523808
11,0,-inf,0.96,0.7,False,True,"354,405",15,0.96,0.8333333333333334,0.9473684210526315,0.7333333333333333,0.6,0.7142857142857143,1.0,1.0,0.6666666666666666,1.0,0.3378530442714691,0.96,0.9090909090909091,1.0,0.5882352941176471,0.7586206896551724,0.7857142857142857,0.6164705882352941,0.6666666666666666,0.88,0.6,0.40476190476190477
12,1,-inf,0.6749999999999999,0.7,False,True,"425,426",14,0.6749999999999999,0.7058823529411765,0.8333333333333334,0.6428571428571429,0.675,0.8571428571428571,0.6,1.0,1.0,1.0,0.3462647497653961,0.6749999999999999,0.8333333333333334,1.0,0.5858823529411764,0.7719298245614035,0.7719298245614035,0.6458823529411765,0.6875,0.88,0.49999999999999994,0.40476190476190477
13,1,-inf,0.9666666666666667,0.7,False,True,"355,446",11,0.9666666666666667,0.625,0.8333333333333334,0.45454545454545453,0.5,0.45454545454545453,1.0,1.0,0.6666666666666666,1.0,1.3236215114593506,0.9666666666666667,0.8333333333333334,1.0,0.5905882352941176,0.7719298245614035,0.7857142857142857,0.6458823529411765,0.6875,0.88,0.5499999999999999,0.40476190476190477
