fold,task2_mode,training_scheme,freeze_cnn,best_combined_metric,best_combined_epoch,best_task1_sel_f1,best_task1_epoch,best_task2_f1,best_task2_epoch,best_task2_f1_macro,best_task2_macro_epoch,best_task2_f1_weighted,best_task2_weighted_epoch,combined_task2_metric,best_task2_metric,best_model_combined,best_model_task1,best_model_task2
0,3class,joint,0.0,0.5882693664951729,23,0.7857142857142857,8,0.4457695022211151,23,0.43904388259226973,23,0.4457695022211151,23,weighted,weighted,best_model_v2.9_fold_0.pt,best_model_v2.9_task1_fold_0.pt,best_model_v2.9_task2_fold_0.pt
1,3class,joint,0.0,0.8211214310285517,29,0.8333333333333334,25,0.8187134502923976,29,0.8362573099415204,29,0.8187134502923976,29,weighted,weighted,best_model_v2.9_fold_1.pt,best_model_v2.9_task1_fold_1.pt,best_model_v2.9_task2_fold_1.pt
2,3class,joint,0.0,0.7886169003410383,49,0.88,49,0.7035608070090829,32,0.5836385836385837,54,0.7035608070090829,32,weighted,weighted,best_model_v2.9_fold_2.pt,best_model_v2.9_task1_fold_2.pt,best_model_v2.9_task2_fold_2.pt
3,3class,joint,0.0,0.6915933254325872,24,0.851063829787234,22,0.5321228210779404,24,0.5074216923796167,24,0.5321228210779404,24,weighted,weighted,best_model_v2.9_fold_3.pt,best_model_v2.9_task1_fold_3.pt,best_model_v2.9_task2_fold_3.pt
4,3class,joint,0.0,0.7131898301956441,11,0.8837209302325582,11,0.5426587301587301,11,0.5119047619047619,11,0.5426587301587301,11,weighted,weighted,best_model_v2.9_fold_4.pt,best_model_v2.9_task1_fold_4.pt,best_model_v2.9_task2_fold_4.pt
5,3class,joint,0.0,0.7248290598290598,20,0.9629629629629629,9,0.5700000000000001,24,0.4666666666666666,24,0.5700000000000001,24,weighted,weighted,best_model_v2.9_fold_5.pt,best_model_v2.9_task1_fold_5.pt,best_model_v2.9_task2_fold_5.pt
6,3class,joint,0.0,0.7429012345679012,22,0.8461538461538461,20,0.6858024691358025,22,0.6569248035914703,22,0.6858024691358025,22,weighted,weighted,best_model_v2.9_fold_6.pt,best_model_v2.9_task1_fold_6.pt,best_model_v2.9_task2_fold_6.pt
7,3class,joint,0.0,0.6089716635507569,17,0.8484848484848485,17,0.3906832298136646,14,0.3963963963963964,23,0.3906832298136646,14,weighted,weighted,best_model_v2.9_fold_7.pt,best_model_v2.9_task1_fold_7.pt,best_model_v2.9_task2_fold_7.pt
8,3class,joint,0.0,0.5582645502645502,24,0.6666666666666666,5,0.5283436041083099,17,0.49893557422969187,17,0.5283436041083099,17,weighted,weighted,best_model_v2.9_fold_8.pt,best_model_v2.9_task1_fold_8.pt,best_model_v2.9_task2_fold_8.pt
